Biomass,SOURCE
2538.4908589,FIA
2806.54531781,FIA
16991.7524271,FIA
27130.5694129,FIA
20459.3491048,FIA
27146.3077849,FIA
14961.5940252,FIA
12192.8155979,FIA
39203.205074,FIA
9873.24385536,FIA
6222.66610782,FIA
8208.00449214,FIA
28846.8408255,FIA
9702.99303018,FIA
33470.8396116,FIA
43387.1894776,FIA
711.963116923,FIA
3966.5306956,FIA
21027.0326327,FIA
33424.0587445,FIA
25767.7388665,FIA
33014.5944302,FIA
9146.52122578,FIA
